customer_id,CAC,industry,company_size,LTV,Monthly_Revenue,plan_name,billing_frequency,Total_Revenue,Avg_Sentiment_Score,Active_Days,Usage_Events,Usage_Score,latest_end,Churned,LTV_CAC_Ratio,CAC_Payback_Months,Customer_Health_Score
005595d5-04eb-46c0-af36-516dcbd62447,242.31,Retail,Small (11-50),6315.45,101.5,Starter,monthly,1798.0,1.0,1256,1256,1.0,2025-10-20,0,26.06,2.4,1.0
00b2a658-6da7-417a-8d97-82ab960e897d,329.77,Education,Small (11-50),-84.89,38.05,Starter,annual,313.2,0.0,103,103,1.0,2022-10-22,1,-0.26,8.7,0.5
0102156d-64e1-4261-bb9d-e2a9324bb184,136.05,Retail,Startup (1-10),64055.69,683.91,Professional,annual,12442.2,,4062,4065,1.0,2026-06-17,0,470.82,0.2,0.7
0107fa4c-7ead-4421-a1bb-d88497449889,185.18,Marketing,Startup (1-10),3020.21,174.54,Starter,annual,2364.6,,467,467,1.0,2024-09-26,1,16.31,1.1,0.5
01377e6b-8f43-4b80-ab1d-50a35e8a7dcf,264.37,Finance,Enterprise (1000+),1001405.54,4804.89,Enterprise,annual,110703.0,,6039,6047,1.0,2025-11-10,0,3787.89,0.1,0.7
01744c7b-feb8-44dd-bc41-c9555cd59902,44.17,Non-profit,Small (11-50),242201.2,3290.13,Professional,monthly,20825.0,0.0,3038,3045,1.0,2025-01-17,1,5483.39,0.0,0.5
01aaef2d-a2c6-4946-a863-9330b7179794,28.26,Media,Medium (51-200),2503.74,1232.0,Professional,monthly,462.0,0.0,391,391,1.0,2023-02-17,1,88.6,0.0,0.5
01b5d085-1e12-4897-ae2c-f1b5347304c8,201.8,Finance,Large (201-1000),54285.58,427.33,Business,monthly,15251.0,-1.0,2617,2620,1.0,2026-08-26,0,269.01,0.5,0.4
01c4e110-d678-4f25-b3f4-404f2edd5105,374.84,Real Estate,Startup (1-10),3720.8,51.0,Starter,monthly,3630.0,0.0,927,927,1.0,2027-08-11,0,9.93,7.3,0.7
022ac370-e7dc-488b-8382-462d5c6768ce,221.57,Media,Large (201-1000),130190.59,3610.25,Enterprise,annual,19353.0,-1.0,5518,5543,1.0,2023-07-13,1,587.58,0.1,0.2
022d27b0-cb3f-42e2-bfe1-32e3054c1469,313.73,Legal,Medium (51-200),10431.48,149.8,Business,monthly,10424.0,,2531,2535,1.0,2027-02-02,0,33.25,2.1,0.7
02332f78-c21d-4f58-b101-72759d049f7c,142.86,Legal,Startup (1-10),12201.84,212.75,Professional,annual,6423.6,,2515,2517,1.0,2026-09-18,0,85.41,0.7,0.7
0239de91-8cf8-4a32-b3bd-3f2f7ac67713,197.48,Marketing,Large (201-1000),4881711.7,8629.0,Enterprise,monthly,280859.0,-1.0,67438,67875,1.01,2033-09-16,0,24720.03,0.0,0.41
028b6047-8c83-4fad-8a71-40b2554a5610,27.14,Manufacturing,Startup (1-10),248.07,27.0,Starter,monthly,270.0,0.5,140,140,1.0,2023-08-17,1,9.14,1.0,0.65
02c2c4c9-f644-46d3-a941-0543e7cf656f,286.73,Technology,Medium (51-200),1644242.32,2443.14,Business,monthly,161010.0,0.0,10744,10749,1.0,2032-03-26,0,5734.46,0.1,0.7
02dec1c6-6b7e-40ca-b2dd-b82ec35aa654,160.69,Finance,Large (201-1000),28482.34,116.42,Enterprise,annual,32601.0,-0.33,18074,18100,1.0,2034-11-21,0,177.25,1.4,0.6
031fa429-569c-4818-8196-eeb791b83945,389.63,Real Estate,Medium (51-200),174208.07,3331.83,Professional,monthly,13289.0,,3878,3887,1.0,2023-09-09,1,447.11,0.1,0.5
031fff01-f0e5-46b1-b517-1f10161ef13e,288.16,Healthcare,Medium (51-200),59134.61,214.0,Professional,monthly,17446.0,,3844,3847,1.0,2030-08-07,0,205.21,1.3,0.7
0333a2a6-27ae-4edc-817c-9c25d7951aad,98.09,Legal,Enterprise (1000+),11887.29,804.33,Enterprise,annual,12732.0,,1991,1999,1.0,2024-01-06,1,121.19,0.1,0.5
